name,catNum,category,ogMin,ogMax,fgMin,fgMax,abvMin,abvMax,ibuMin,ibuMax,srmMin,srmMax
Scottish Light 60/-,9A,Scottish and Irish Ale,1.03,1.035,1.01,1.013,2.5,3.2,10,20,9,17
Scottish Heavy 70/-,9B,Scottish and Irish Ale,1.035,1.04,1.01,1.015,3.2,3.9,10,25,9,17
Scottish Export 80/-,9C,Scottish and Irish Ale,1.04,1.054,1.01,1.016,3.9,5,15,30,9,17
Irish Red Ale,9D,Scottish and Irish Ale,1.044,1.06,1.01,1.014,4,6,17,28,9,18
Strong Scotch Ale,9E,Scottish and Irish Ale,1.07,1.13,1.018,1.03,6.5,10,17,35,14,25
American Pale Ale,10A,American Ale,1.045,1.06,1.01,1.015,4.5,6.2,30,45,5,14
American Amber Ale,10B,American Ale,1.045,1.06,1.01,1.015,4.5,6.2,25,40,10,17
American Brown Ale,10C,American Ale,1.045,1.06,1.01,1.016,4.3,6.2,20,40,18,35
Mild,11A,English Brown Ale,1.03,1.038,1.008,1.013,2.8,4.5,10,25,12,25
Southern English Brown Ale,11B,English Brown Ale,1.033,1.042,1.011,1.014,2.8,4.1,12,20,19,35
Northern English Brown Ale,11C,English Brown Ale,1.04,1.052,1.008,1.013,4.2,5.4,20,30,12,22
Brown Porter,12A,Porter,1.04,1.052,1.008,1.014,4,5.4,18,35,20,30
Robust Porter,12B,Porter,1.048,1.065,1.012,1.016,4.8,6.5,25,50,22,35
Baltic Porter,12C,Porter,1.06,1.09,1.016,1.024,5.5,9.5,20,40,17,30
Dry Stout,13A,Stout,1.036,1.05,1.007,1.011,4,5,30,45,25,40
Sweet Stout,13B,Stout,1.044,1.06,1.012,1.024,4,6,20,40,30,40
Oatmeal Stout,13C,Stout,1.048,1.065,1.01,1.018,4.2,5.9,25,40,22,40
Foreign Extra Stout,13D,Stout,1.056,1.075,1.01,1.018,5.5,8,30,70,30,40
American Stout,13E,Stout,1.05,1.075,1.01,1.022,5,7,35,75,30,40
Imperial Stout,13F,Stout,1.075,1.115,1.018,1.03,8,12,50,90,30,40
English IPA,14A,India Pale Ale (IPA),1.05,1.075,1.01,1.018,5,7.5,40,60,8,14
American IPA,14B,India Pale Ale (IPA),1.056,1.075,1.01,1.018,5.5,7.5,40,70,6,15
Imperial IPA,14C,India Pale Ale (IPA),1.07,1.09,1.01,1.02,7.5,10,60,120,8,15
Weizen/Weissbier,15A,German Wheat and Rye Beer,1.044,1.052,1.01,1.014,4.3,5.6,8,15,2,8
Dunkelweizen,15B,German Wheat and Rye Beer,1.044,1.056,1.01,1.014,4.3,5.6,10,18,14,23
Weizenbock,15C,German Wheat and Rye Beer,1.064,1.09,1.015,1.022,6.5,8,15,30,12,25
Roggenbier (German Rye Beer),15D,German Wheat and Rye Beer,1.046,1.056,1.01,1.014,4.5,6,10,20,14,19
Witbier,16A,Belgian and French Ale,1.044,1.052,1.008,1.012,4.5,5.5,10,20,2,4
Belgian Pale Ale,16B,Belgian and French Ale,1.048,1.054,1.01,1.014,4.8,5.5,20,30,8,14
Saison,16C,Belgian and French Ale,1.048,1.065,1.002,1.012,5,7,20,35,5,14
Biere de Garde,16D,Belgian and French Ale,1.06,1.08,1.008,1.016,6,8.5,18,28,6,19
Belgian Specialty Ale,16E,Belgian and French Ale,1.03,1.08,1.006,1.019,3,9,15,40,3,50
Berliner Weiss,17A,Sour Ale,1.028,1.032,1.003,1.006,2.8,3.8,3,8,2,3
Flanders Red Ale,17B,Sour Ale,1.048,1.057,1.002,1.012,4.6,6.5,10,25,10,16
Flanders Brown Ale/Oud Bruin,17C,Sour Ale,1.04,1.074,1.008,1.012,4,8,20,25,15,22
Straight (Unblended) Lambic,17D,Sour Ale,1.04,1.054,1.001,1.01,5,6.5,0,10,3,7
Gueuze,17E,Sour Ale,1.04,1.06,1,1.006,5,8,0,10,3,7
Fruit Lambic,17F,Sour Ale,1.04,1.06,1,1.01,5,7,0,10,3,7
Belgian Blond Ale,18A,Belgian Strong Ale,1.062,1.075,1.008,1.018,6,7.5,15,30,4,7
Belgian Dubbel,18B,Belgian Strong Ale,1.062,1.075,1.008,1.018,6,7.6,15,25,10,17
Belgian Tripel,18C,Belgian Strong Ale,1.075,1.085,1.008,1.014,7.5,9.5,20,40,4.5,7
Belgian Golden Strong Ale,18D,Belgian Strong Ale,1.07,1.095,1.005,1.016,7.5,10.5,22,35,3,6
Belgian Dark Strong Ale,18E,Belgian Strong Ale,1.075,1.11,1.01,1.024,8,11,20,35,12,22
Old Ale,19A,Strong Ale,1.06,1.09,1.015,1.022,6,9,30,60,10,22
English Barleywine,19B,Strong Ale,1.08,1.12,1.018,1.03,8,12,35,70,8,22
American Barleywine,19C,Strong Ale,1.08,1.12,1.016,1.03,8,12,50,120,10,19
Fruit Beer,20A,Fruit Beer,1.03,1.11,1.004,1.024,2.5,12,5,70,3,50
"Spice, Herb or Vegetable Beer",21A,Spice/Herb/Vegetable Beer,1.03,1.11,1.005,1.025,2.5,12,0,70,5,50
Christmas/Winter Specialty Spice Beer,21B,Spice/Herb/Vegetable Beer,1.03,1.11,1.005,1.025,2.5,12,0,70,5,50
Classic Rauchbier,22A,Smoke-Flavored and Wood-Aged Beer,1.05,1.057,1.012,1.016,4.8,6,20,30,12,22
Other Smoked Beer,22B,Smoke-Flavored and Wood-Aged Beer,1.03,1.11,1.006,1.024,2.5,12,5,70,5,50
Wood Aged Beer,22C,Smoke-Flavored and Wood-Aged Beer,1.03,1.11,1.006,1.024,2.5,12,5,70,5,50
Specialty Beer,23A,Specialty Beer,1.03,1.11,1.006,1.024,2.5,12,5,70,5,50
Dry Mead,24A,Traditional Mead,1.035,1.17,0.99,1.05,3.5,18,0,0,1,16
Semi-Sweet Mead,24B,Traditional Mead,1.035,1.17,0.99,1.05,3.5,18,0,0,1,16
Sweet Mead,24C,Traditional Mead,1.035,1.17,0.99,1.05,7.5,15,0,0,1,16
Cyser (Apple Melomel),25A,Melomel (Fruit Mead),1.035,1.17,0.99,1.05,3.5,18,0,0,1,16
Pyment (Grape Melomel),25B,Melomel (Fruit Mead),1.035,1.17,0.99,1.05,3.5,18,0,0,1,16
Other Fruit Melomel,25C,Melomel (Fruit Mead),1.035,1.17,0.99,1.05,3.5,18,0,0,1,16
Metheglin,26A,Other Mead,1.035,1.17,0.99,1.05,3.5,18,0,0,1,16
Braggot,26B,Other Mead,1.035,1.17,1.009,1.05,3.5,18,0,50,3,16
Open Category Mead,26C,Other Mead,1.035,1.17,0.99,1.05,3.5,18,0,50,1,16
Common Cider,27A,Standard Cider and Perry,1.045,1.065,1,1.02,5,8,0,0,1,10
English Cider,27B,Standard Cider and Perry,1.05,1.075,0.995,1.01,6,9,0,0,1,10
French Cider,27C,Standard Cider and Perry,1.05,1.065,1.01,1.02,3,6,0,0,1,10
Common Perry,27D,Standard Cider and Perry,1.05,1.06,1,1.02,5,7,0,0,0,6
Traditional Perry,27E,Standard Cider and Perry,1.05,1.07,1,1.02,5,9,0,0,0,6
New England Cider,28A,Specialty Cider and Perry,1.06,1.1,0.995,1.01,7,13,0,0,1,10
Fruit Cider,28B,Specialty Cider and Perry,1.045,1.07,0.995,1.01,5,9,0,0,1,10
Applewine,28C,Specialty Cider and Perry,1.07,1.1,0.995,1.01,9,12,0,0,1,10
Other Specialty Cider/Perry,28D,Specialty Cider and Perry,1.045,1.1,0.995,1.02,5,12,0,0,1,10
